Abbreviation,Expansion,Category
AI,Artificial Intelligence,STEM
AKA,Also Known As,Common
API,Application Programming Interface,STEM
ASAP,As Soon As Possible,Common
BTW,By The Way,Common
CAD,Computer-Aided Design,STEM
CEO,Chief Executive Officer,Common
COB,Close of Business,Common
CPU,Central Processing Unit,STEM
DIY,Do It Yourself,Common
DNA,Deoxyribonucleic Acid,STEM
ETA,Estimated Time of Arrival,Common
FYI,For Your Information,Common
FWIW,For What It's Worth,Common
HTML,HyperText Markup Language,STEM
IoT,Internet of Things,STEM
MRI,Magnetic Resonance Imaging,STEM
NASA,National Aeronautics and Space Administration,STEM
OOO,Out of Office,Common
RAM,Random Access Memory,STEM
ROI,Return on Investment,Common
RSVP,Please Respond,Common
TBD,To Be Determined,Common
TBH,To Be Honest,Common
TL;DR,Too Long; Didn't Read,Common
URL,Uniform Resource Locator,STEM
WFH,Work From Home,Common
